"","Nobs","nsubs1","nsubs2","lam1","lam2","rho"
"1",400,10,5,0.25,0.25,1
"2",400,10,8,0.25,0.25,1
"3",400,10,22,0.25,0.25,1
"4",400,10,5,0.35,0.25,1
"5",400,10,8,0.35,0.25,1
"6",400,10,22,0.35,0.25,1
"7",400,10,5,0.5,0.25,1
"8",400,10,8,0.5,0.25,1
"9",400,10,22,0.5,0.25,1
"10",400,10,5,0.25,0.35,1
"11",400,10,8,0.25,0.35,1
"12",400,10,22,0.25,0.35,1
"13",400,10,5,0.35,0.35,1
"14",400,10,8,0.35,0.35,1
"15",400,10,22,0.35,0.35,1
"16",400,10,5,0.5,0.35,1
"17",400,10,8,0.5,0.35,1
"18",400,10,22,0.5,0.35,1
"19",400,10,5,0.25,0.5,1
"20",400,10,8,0.25,0.5,1
"21",400,10,22,0.25,0.5,1
"22",400,10,5,0.35,0.5,1
"23",400,10,8,0.35,0.5,1
"24",400,10,22,0.35,0.5,1
"25",400,10,5,0.5,0.5,1
"26",400,10,8,0.5,0.5,1
"27",400,10,22,0.5,0.5,1
